gene male1 male2 female1 female2 asexual1 asexual2
100159432 24 36 3 1 81 51
100159434 488 402 659 1011 556 892
100159435 479 460 41 46 340 160
100159439 859 735 159 305 748 535
100159441 5007 3278 1456 1792 3447 2141
100159443 188 138 21 23 408 221
100159444 17 15 153 141 327 256
100159445 0 0 0 0 0 0
100159446 170 139 169 196 336 307
100159447 54 64 79 148 172 146
100159449 6313 5742 7380 7596 33880 21582
100159450 0 2 0 0 89 75
100159451 465 392 662 709 491 503
100159452 316 226 543 591 698 511
100159454 235 145 143 172 132 121
100159455 1434 1012 270 555 706 858
100159456 1563 1278 807 1644 1797 1986
100159458 90 73 147 490 128 227
100159459 177 109 868 1359 1466 1851
100159460 435 358 315 875 372 638
100159461 2453 1720 493 500 2081 1339
100159462 12 2 32 77 18 26
100159463 160 156 54 97 105 114
100159465 123 90 77 118 195 158
100159466 401 298 437 485 767 653
100159467 0 0 0 0 0 0
100159468 0 0 4 2 2 2
100159469 1469 1064 1371 1964 3376 3087
100159470 539 451 739 1064 601 683
100159471 1571 1143 440 966 714 788
100159472 30 19 14 14 14217 11327
100159475 6 6 333 478 42 34
100159476 1124 808 950 1183 2092 1727
100159477 54 41 247 248 740 575
100159478 160 126 115 156 1427 1324
100159479 1341 1039 1148 1796 2426 2119
100159480 766 793 652 696 2109 1511
100159481 32 18 385 508 116 151
100159482 1623 1396 21 62 605 428
100159483 84 64 476 584 676 760
100159484 603 460 334 550 594 692
100159485 97 60 8 1 11 5
100159487 20 17 5 7 136 83
100159488 2027 1674 2489 4280 4946 5130
100159489 342 236 239 236 366 276
100159490 71 63 8 15 78 67
100159491 805 592 891 1476 1155 1459
100159492 290 272 127 232 107 119
100159493 82 74 390 521 333 350
100159494 92 67 725 819 233 265
100159495 532 435 221 276 470 434
100159498 133 87 340 574 141 193
100159499 14 13 1 0 25 27
100159500 1 0 0 1 1 1
100159501 452 295 44 188 182 265
100159502 357 271 15 43 387 439
100159503 195 140 834 954 3234 2661
100159504 1 0 2 0 1 0
100159505 462 363 527 624 420 413
100159506 193 185 22 35 114 157
100159507 292 188 554 754 601 641
100159508 672 503 158 171 411 303
100159509 1080 885 421 978 980 1449
100159510 242 212 434 381 325 234
100159512 1 4 0 0 0 0
